session_id,user_id,age_group,gender,device,traffic_source,landing_page,session_duration_sec,pages_visited,bounce,conversion
1,1102,45-54,Male,Mobile,Direct,Product Page,376,5,0,1
2,1435,25-34,Male,Tablet,Paid Ads,Homepage,133,2,1,1
3,1860,45-54,Female,Desktop,Paid Ads,Cart,6,6,0,1
4,1270,25-34,Male,Mobile,Social Media,Product Page,45,4,0,1
5,1106,25-34,Female,Mobile,Organic Search,Blog,107,6,0,1
6,1071,18-24,Male,Mobile,Social Media,Homepage,215,7,0,1
7,1700,35-44,Male,Mobile,Direct,Product Page,44,5,0,1
8,1020,55+,Female,Mobile,Organic Search,Product Page,673,8,0,1
9,1614,35-44,Female,Mobile,Organic Search,Blog,69,3,0,1
10,1121,25-34,Other,Mobile,Organic Search,Product Page,136,6,0,1
11,1466,35-44,Female,Mobile,Direct,Product Page,3,5,0,1
12,1214,18-24,Female,Desktop,Social Media,Product Page,389,4,0,1
13,1330,45-54,Male,Tablet,Social Media,Blog,279,5,0,0
14,1458,25-34,Male,Desktop,Organic Search,Homepage,39,7,0,1
15,1087,25-34,Male,Desktop,Direct,Blog,487,6,0,0
16,1372,25-34,Female,Mobile,Organic Search,Product Page,68,5,0,1
17,1099,35-44,Female,Mobile,Organic Search,Blog,212,2,0,1
18,1871,18-24,Male,Mobile,Direct,Product Page,307,5,0,1
19,1663,35-44,Female,Desktop,Social Media,Product Page,243,5,0,1
20,1130,18-24,Female,Tablet,Social Media,Homepage,449,6,0,1
21,1661,35-44,Male,Desktop,Direct,Cart,359,6,1,1
22,1308,45-54,Male,Desktop,Organic Search,Product Page,940,7,0,1
23,1769,45-54,Female,Desktop,Direct,Cart,36,4,0,1
24,1343,25-34,Female,Mobile,Organic Search,Product Page,65,9,0,1
25,1491,25-34,Female,Mobile,Organic Search,Homepage,182,6,1,1
26,1413,18-24,Male,Mobile,Direct,Product Page,237,6,1,1
27,1805,35-44,Other,Mobile,Direct,Homepage,137,4,0,0
28,1385,25-34,Male,Desktop,Organic Search,Cart,13,4,0,1
29,1191,25-34,Male,Mobile,Organic Search,Pricing,331,5,0,1
30,1955,25-34,Other,Mobile,Referral,Blog,583,4,0,1
31,1276,18-24,Male,Mobile,Direct,Product Page,93,3,0,1
32,1160,35-44,Female,Mobile,Organic Search,Product Page,45,4,1,1
33,1459,18-24,Male,Mobile,Direct,Cart,3,7,1,1
34,1313,35-44,Female,Mobile,Organic Search,Homepage,48,5,0,1
35,1021,25-34,Other,Mobile,Social Media,Blog,216,6,1,1
36,1252,18-24,Male,Desktop,Organic Search,Product Page,436,9,0,1
37,1747,25-34,Female,Mobile,Social Media,Cart,17,3,0,1
38,1856,18-24,Male,Desktop,Organic Search,Pricing,145,9,0,1
39,1560,25-34,Female,Desktop,Social Media,Cart,214,7,0,1
40,1474,35-44,Male,Desktop,Social Media,Product Page,58,8,1,1
41,1058,18-24,Male,Desktop,Social Media,Homepage,151,4,1,0
42,1510,45-54,Male,Mobile,Organic Search,Product Page,226,2,0,1
43,1681,18-24,Male,Mobile,Social Media,Blog,327,8,1,1
44,1475,18-24,Other,Mobile,Direct,Blog,108,4,1,1
45,1699,35-44,Male,Mobile,Social Media,Homepage,247,4,0,1
46,1975,25-34,Male,Tablet,Direct,Product Page,64,3,0,1
47,1782,18-24,Male,Desktop,Social Media,Homepage,43,5,1,1
48,1189,25-34,Male,Mobile,Social Media,Pricing,37,4,1,1
49,1957,25-34,Female,Mobile,Social Media,Homepage,80,3,1,1
50,1686,45-54,Other,Mobile,Paid Ads,Blog,6,7,0,1
51,1957,25-34,Male,Desktop,Organic Search,Homepage,59,5,0,1
52,1562,35-44,Female,Desktop,Organic Search,Product Page,190,3,1,1
53,1875,45-54,Female,Desktop,Direct,Cart,187,3,0,1
54,1566,25-34,Male,Tablet,Paid Ads,Homepage,13,8,1,1
55,1243,45-54,Female,Mobile,Paid Ads,Homepage,60,4,0,1
56,1831,25-34,Female,Mobile,Social Media,Homepage,151,8,0,1
57,1504,55+,Female,Mobile,Social Media,Product Page,69,4,0,1
58,1130,18-24,Female,Mobile,Direct,Product Page,97,4,0,1
59,1484,35-44,Male,Tablet,Social Media,Product Page,224,1,0,1
60,1818,25-34,Other,Mobile,Direct,Blog,1,7,1,1
61,1646,25-34,Female,Desktop,Referral,Homepage,58,3,0,1
62,1020,35-44,Female,Mobile,Direct,Pricing,27,3,0,1
63,1840,35-44,Female,Mobile,Social Media,Pricing,24,6,1,1
64,1166,18-24,Male,Mobile,Social Media,Cart,575,5,0,1
65,1273,18-24,Other,Mobile,Direct,Cart,85,6,0,1
66,1387,35-44,Female,Desktop,Social Media,Product Page,134,5,0,1
67,1600,35-44,Male,Mobile,Social Media,Product Page,238,8,0,1
68,1315,55+,Male,Desktop,Organic Search,Blog,8,3,0,1
69,1013,35-44,Female,Desktop,Organic Search,Homepage,49,5,1,1
70,1241,55+,Male,Mobile,Social Media,Product Page,321,3,0,1
71,1776,35-44,Male,Desktop,Referral,Homepage,356,7,1,0
72,1345,25-34,Female,Mobile,Organic Search,Product Page,84,11,0,1
73,1564,18-24,Male,Desktop,Social Media,Product Page,84,3,1,1
74,1897,35-44,Male,Desktop,Organic Search,Homepage,254,4,0,1
75,1339,35-44,Male,Tablet,Organic Search,Homepage,62,8,0,0
76,1091,18-24,Male,Mobile,Paid Ads,Blog,22,2,1,1
