customer_id,product_category,product_name,rating,review_text,purchase_date,sentiment_label,age_group,gender
1,Electronics,Smartphone X1,5,Absolutely love this phone! The camera quality is outstanding and battery life is amazing. Best purchase I've made this year.,15-03-2024,positive,25-34,Female
2,Clothing,Designer Jacket,2,Very disappointed with the quality. The material feels cheap and the sizing is completely off. Would not recommend.,18-03-2024,negative,35-44,Male
3,Home & Garden,Coffee Maker Pro,4,Good coffee maker overall. Makes great coffee but the setup process was a bit confusing. Worth the price though.,20-03-2024,positive,45-54,Female
4,Electronics,Wireless Headphones,1,Terrible sound quality and they broke after just one week. Complete waste of money. Customer service was unhelpful.,22-03-2024,negative,18-24,Male
5,Beauty,Anti-Aging Serum,5,This serum has transformed my skin! I can see visible results after just 2 weeks. Highly recommend to anyone looking for quality skincare.,25-03-2024,positive,35-44,Female
6,Books,Self-Help Guide,3,The book has some good points but it's quite repetitive. Not bad but not exceptional either. Average read.,28-03-2024,neutral,25-34,Male
7,Food & Beverage,Organic Tea Blend,4,Lovely tea with a great aroma. The taste is smooth and relaxing. Only wish it came in larger packages.,01-04-2024,positive,55-64,Female
8,Electronics,Smart TV 55-inch,5,Incredible picture quality and smart features work flawlessly. Easy setup and great value for money. Very satisfied!,03-04-2024,positive,35-44,Male
9,Sports & Outdoors,Running Shoes,2,These shoes are uncomfortable and caused blisters during my first run. Poor cushioning and not worth the high price.,05-04-2024,negative,25-34,Female
10,Home & Kitchen,Air Fryer Deluxe,4,Works well for most foods. Crispy results and healthier cooking. The only downside is it's quite noisy during operation.,08-04-2024,positive,45-54,Male
11,Automotive,Car Phone Mount,3,Does the job but not very sturdy. Phone occasionally falls off during sharp turns. Okay for the price I guess.,10-04-2024,neutral,35-44,Male
12,Pet Supplies,Dog Training Treats,5,My dog absolutely loves these treats! Great for training sessions and they're made with natural ingredients. Will definitely buy again.,12-04-2024,positive,25-34,Female
13,Toys & Games,Board Game Classic,4,Fun game for family nights. Good quality pieces and clear instructions. Kids and adults both enjoy it.,15-04-2024,positive,35-44,Female
14,Electronics,Tablet Pro,1,Screen cracked within the first month despite careful handling. Poor build quality for such an expensive device. Very disappointed.,18-04-2024,negative,55-64,Male
15,Health & Wellness,Vitamin Supplements,3,Haven't noticed significant changes yet but it's only been a month. Will continue taking and see if there are improvements.,20-04-2024,neutral,45-54,Female
16,Electronics,Gaming Console,5,Best gaming experience ever! Fast loading times and incredible graphics. The controller feels premium and responsive.,22-04-2024,positive,18-24,Male
17,Fashion,Women's Boots,1,Worst purchase ever. The heel broke on the second wear and they're incredibly uncomfortable. Complete waste of money.,24-04-2024,negative,25-34,Female
18,Home Decor,Wall Art Set,4,Beautiful artwork that really brightens up the living room. Good quality prints but the frames could be sturdier.,26-04-2024,positive,35-44,Female
